Language,Year,Title,Genre,Director,Cast
Hindi,2014,Shaadi Ke Side Effects,Romance/Comedy,Saket Chaudhary,"Farhan Akhtar, Vidya Balan, Vir Das, Ram Kapoor, Gautami Kapoor, Ila Arun, Hariharan, Purab Kohli, Rati Agnihotri[28]"
Hindi,2014,Gulaab Gang,Social/Action,Soumik Sen,"Madhuri Dixit, Juhi Chawla[29]"
Hindi,2014,Queen,Romance/Drama,Vikas Bahl,"Kangana Ranaut, Rajkummar Rao, Lisa Haydon[30]"
Hindi,2014,Total Siyappa,Drama/Comedy,E Niwas,"Ali Zafar, Yami Gautam, Sara Khan, Anupam Kher, Kiron Kher[31]"
Hindi,2014,Bewakoofiyaan,Romance,Nupur Asthana,"Ayushmann Khurrana, Sonam Kapoor, Rishi Kapoor[32]"
Hindi,2014,Neighbours,Horror,Shyam Ramsay,"Arbaaz Ali Khan, Roushika Reikhi, Shakti Kapoor, Gavie Chahal, Rufy Khan, Hritu Dudani, Kirti Vaidhya, Prince Sodhi, Sunny Singh[33]"
Hindi,2014,W,Thriller,Tarun Madan Chopra,"Lezlie Tripathy, Sonal Giani, Raj Singh Arora, Abhey Attri and Danish[34]"
Hindi,2014,Ankhon Dekhi,Comedy,Rajat Kapoor,"Sanjay Mishra, Rajat Kapoor, Samit Das, Brijendra Kala[35]"
Hindi,2014,Gang of Ghosts,Horror Comedy,Satish Kaushik,"Parambrata Chatterjee, Sharman Joshi, Mahie Gill, Anupam Kher, Meera Chopra, Saurabh Shukla, Chunky Pandey[36]"
Hindi,2014,Lakshmi,Drama,Nagesh Kukunoor,"Monali Thakur, Satish Kaushik, Shefali Shetty, Ram Kapoor[37]"
Hindi,2014,Ragini MMS 2,Horror/Adult,Bhushan Patel,"Sunny Leone, Parvin Dabas, Divya Dutta[38]"
Hindi,2014,Dishkiyaoon,Action,Sanamjit Talwar,"Sunny Deol, Harman Baweja, Ayesha Khanna, Prashant Narayanan[39]"
Hindi,2014,O Teri,Comedy,Umesh Bist,"Pulkit Samrat, Sarah-Jane Dias, Bilal Amrohi, Anupam Kher, Mandira Bedi, Vijay Raaz, Manoj Pahwa[40]"
Hindi,2014,Station: The Film,Thriller,Saad Khan,"Sameer Kevin Roy, Kanika Batra, Vibhinta Verma, and Siddhanth Sundar[41][42]"
Hindi,2014,Youngistaan,Drama,Syed Ahmad Afzal,"Jackky Bhagnani, Neha Sharma, Farooq Sheikh, Boman Irani[43]"
Hindi,2014,Ebn-E-Batuta,Sci-fi/Comedy,Varun Middha,"Omkar Das Manikpuri, Rajeev Verma, Dev Gohar, Satyendra Khare, Nazea Sayed, Neelam Singh[44]"
Hindi,2014,Honour Killing,Social,Avtar Bhogal,"Zara Sheikh, Sandeep Singh, Tom Alter, Gulshan Grover, Prem Chopra[45]"
Hindi,2014,Jal,Drama/Fantasy,Girish Malik,"Purab Kohli, Tannishtha Chatterjee, Kirti Kulhari, Yashpal Sharma[46]"
Hindi,2014,Main Tera Hero,Comedy,David Dhawan,"Varun Dhawan, Ileana D'Cruz, Nargis Fakhri, Abhimanyu Singh, Evelyn Sharma[47]"
